consumer_sp,resource_sp,consumed
Hyaena hyaena,Canis lupus,1
Hyaena hyaena,Homo sapiens,1
Hyaena hyaena,Axis axis,1
Hyaena hyaena,Boselaphus tragocamelus,1
Hyaena hyaena,Lepus nigricollis,1
Catopuma temminckii,Trachypithecus obscurus,1
Sus scrofa,Oryctolagus cuniculus,1
Prionailurus bengalensis,Tragulus javanicus,1
Prionailurus bengalensis,Pteropus dasymallus,1
Fossa fossana,Hemicentetes semispinosus,1
Fossa fossana,Oryzorictes hova,1
Fossa fossana,Microgale cowani,1
Fossa fossana,Eliurus minor,1
Fossa fossana,Rattus rattus,1
Fossa fossana,Mus musculus,1
Viverricula indica,Petaurista petaurista,1
Nomascus concolor,Petaurista philippensis,1
Pongo pygmaeus,Nycticebus coucang,1
Cuon alpinus,Rusa timorensis,1
Cuon alpinus,Bos javanicus,1
Cuon alpinus,Axis axis,1
Mungotictis decemlineata,Rattus rattus,1
Mungotictis decemlineata,Mus musculus,1
Mungotictis decemlineata,Eliurus myoxinus,1
Cryptoprocta ferox,Sus scrofa,1
Lycalopex culpaeus,Oryctolagus cuniculus,1
Lycalopex griseus,Capra aegagrus,1
Lycalopex griseus,Lama guanicoe,1
Lycalopex gymnocercus,Lepus europaeus,1
Panthera onca,Hydrochoerus hydrochaeris,1
Panthera onca,Pecari tajacu,1
Panthera onca,Odocoileus virginianus,1
Panthera onca,Oryctolagus cuniculus,1
Panthera onca,Cuniculus paca,1
Leopardus pardalis,Sigmodon hispidus,1
Leopardus pardalis,Rattus rattus,1
Leopardus pardalis,Oryctolagus cuniculus,1
Leopardus pardalis,Pecari tajacu,1
Leopardus pardalis,Odocoileus virginianus,1
Leopardus wiedii,Chaetodipus spinatus,1
Leopardus wiedii,Oryctolagus cuniculus,1
Leopardus geoffroyi,Lepus europaeus,1
Puma concolor,Lama guanicoe,1
Puma concolor,Ozotoceros bezoarticus,1
Puma concolor,Lepus europaeus,1
Puma concolor,Sus scrofa,1
Puma concolor,Homo sapiens,1
Galictis vittata,Sigmodon alstoni,1
Galictis vittata,Didelphis marsupialis,1
Galictis vittata,Dasyprocta punctata,1
Galictis vittata,Kerodon rupestris,1
Galictis vittata,Galea spixii,1
Herpailurus yagouaroundi,Oryctolagus cuniculus,1
Chaetophractus vellerosus,Eligmodontia typus,1
Neofelis nebulosa,Sus barbatus,1
Neofelis nebulosa,Rusa unicolor,1
Neofelis nebulosa,Nasalis larvatus,1
Neofelis nebulosa,Macaca fascicularis,1
Neofelis nebulosa,Macaca nemestrina,1
Neofelis nebulosa,Sus scrofa,1
Panthera tigris,Cervus elaphus,1
Panthera tigris,Alces alces,1
Panthera tigris,Capreolus pygargus,1
Panthera tigris,Cervus nippon,1
Panthera tigris,Moschus moschiferus,1
Panthera tigris,Naemorhedus caudatus,1
Panthera tigris,Ursus arctos,1
Panthera tigris,Ursus thibetanus,1
Panthera tigris,Rusa unicolor,1
Panthera tigris,Axis porcinus,1
Panthera tigris,Boselaphus tragocamelus,1
Panthera tigris,Cuon alpinus,1
Panthera pardus,Tetracerus quadricornis,1
Panthera pardus,Elaphodus cephalophus,1
Panthera pardus,Budorcas taxicolor,1
Panthera pardus,Ailurus fulgens,1
Panthera pardus,Ailuropoda melanoleuca,1
Panthera pardus,Capreolus pygargus,1
Panthera pardus,Cuon alpinus,1
Panthera pardus,Arctonyx collaris,1
Panthera pardus,Rusa unicolor,1
Prionailurus viverrinus,Viverricula indica,1
Prionailurus viverrinus,Axis axis,1
Prionailurus viverrinus,Sus scrofa,1
Prionailurus viverrinus,Canis lupus,1
Felis chaus,Ondatra zibethicus,1
Felis chaus,Axis axis,1
Macrogalidia musschenbroekii,Strigocuscus celebensis,1
Paradoxurus hermaphroditus,Rattus rattus,1
Paradoxurus hermaphroditus,Mus musculus,1
Paradoxurus hermaphroditus,Tatera indica,1
Herpestes auropunctatus,Mus musculus,1
Herpestes auropunctatus,Rattus rattus,1
Herpestes auropunctatus,Apodemus sylvaticus,1
Panthera tigris,Muntiacus muntjak,1
Panthera tigris,Melursus ursinus,1
Panthera tigris,Panthera pardus,1
Panthera tigris,Canis lupus,1
Panthera tigris,Capreolus capreolus,1
Panthera tigris,Nyctereutes procyonoides,1
Panthera tigris,Lepus timidus,1
Galidia elegans,Cheirogaleus major,1
Galidia elegans,Microcebus rufus,1
Mungotictis decemlineata,Echinops telfairi,1
Mungotictis decemlineata,Cheirogaleus medius,1
Mungotictis decemlineata,Mirza coquereli,1
Mungotictis decemlineata,Hypogeomys antimena,1
Homo sapiens,Allocebus trichotis,1
Panthera tigris,Arctonyx collaris,1
Homo sapiens,Avahi laniger,1
Panthera pardus,Axis axis,1
Felis chaus,Axis porcinus,1
Canis lupus,Axis porcinus,1
Panthera onca,Bassaricyon gabbii,1
Homo sapiens,Bassaricyon gabbii,1
Chrysocyon brachyurus,Blastocerus dichotomus,1
Panthera tigris,Bos javanicus,1
Homo sapiens,Bos javanicus,1
Leopardus pardalis,Brachyteles arachnoides,1
Homo sapiens,Brachyteles arachnoides,1
Panthera onca,Brachyteles arachnoides,1
Canis aureus,Tatera indica,1
Canis aureus,Canis lupus,1
Canis lupus,Canis aureus,1
Lynx lynx,Canis aureus,1
Panthera pardus,Canis aureus,1
Canis aureus,Connochaetes taurinus,1
Canis latrans,Dipodomys venustus,1
Canis latrans,Perognathus fasciatus,1
Canis latrans,Onychomys arenicola,1
Canis latrans,Dipodomys compactus,1
Canis latrans,Thomomys mazama,1
Canis latrans,Chaetodipus baileyi,1
Canis latrans,Peromyscus polionotus,1
Canis latrans,Lemmiscus curtatus,1
Canis latrans,Glaucomys sabrinus,1
Canis latrans,Chaetodipus penicillatus,1
Canis latrans,Dipodomys deserti,1
Canis latrans,Sigmodon fulviventer,1
Canis latrans,Blarina carolinensis,1
Canis latrans,Blarina brevicauda,1
Canis latrans,Neurotrichus gibbsii,1
Canis latrans,Ammospermophilus leucurus,1
Canis latrans,Peromyscus aztecus,1
Canis latrans,Didelphis virginiana,1
Canis latrans,Microtus ochrogaster,1
Canis latrans,Peromyscus boylii,1
Canis latrans,Sylvilagus floridanus,1
Canis latrans,Microtus californicus,1
Canis latrans,Marmota monax,1
Canis latrans,Ondatra zibethicus,1
Canis latrans,Bassariscus astutus,1
Canis latrans,Procyon lotor,1
Canis latrans,Cervus elaphus,1
Canis latrans,Sylvilagus nuttallii,1
Canis latrans,Dipodomys microps,1
Canis latrans,Neotoma lepida,1
Canis latrans,Mustela frenata,1
Canis latrans,Reithrodontomys megalotis,1
Canis latrans,Peromyscus maniculatus,1
Canis latrans,Lontra canadensis,1
Canis latrans,Vulpes vulpes,1
Canis latrans,Canis lupus,1
Canis latrans,Odocoileus virginianus,1
Ursus arctos,Canis latrans,1
Canis latrans,Scapanus latimanus,1
Canis latrans,Odocoileus hemionus,1
Canis latrans,Microtus pennsylvanicus,1
Canis latrans,Rattus norvegicus,1
Canis latrans,Sciurus carolinensis,1
Canis latrans,Sylvilagus audubonii,1
Canis latrans,Thomomys bottae,1
Canis latrans,Neofiber alleni,1
Canis latrans,Cervus canadensis,1
Canis latrans,Otospermophilus beecheyi,1
Canis lupus,Bettongia tropica,1
Canis lupus,Cercartetus caudatus,1
Canis lupus,Rattus leucopus,1
Canis lupus,Hypsiprymnodon moschatus,1
Canis lupus,Melomys cervinipes,1
Canis lupus,Pteropus conspicillatus,1
Canis lupus,Pseudochirulus cinereus,1
Canis lupus,Pseudochirops archeri,1
Canis lupus,Dactylopsila trivirgata,1
Canis lupus,Pseudochirulus herbertensis,1
Canis lupus,Trichosurus caninus,1
Canis lupus,Petauroides volans,1
Canis lupus,Tachyglossus aculeatus,1
Canis lupus,Notomys alexis,1
Canis lupus,Canis lupus,1
Canis lupus,Macropus bernardus,1
Canis lupus,Rattus rattus,1
Canis lupus,Antechinus flavipes,1
Canis lupus,Aepyprymnus rufescens,1
Canis lupus,Dendrolagus lumholtzi,1
Canis lupus,Thylogale stigmatica,1
Canis lupus,Uromys caudimaculatus,1
Canis lupus,Rattus fuscipes,1
Canis lupus,Macropus fuliginosus,1
Canis lupus,Pseudocheirus peregrinus,1
Canis lupus,Macropus giganteus,1
Canis lupus,Macropus parryi,1
Canis lupus,Perameles nasuta,1
Canis lupus,Rattus lutreolus,1
Canis lupus,Macropus agilis,1
Canis lupus,Trichosurus vulpecula,1
Canis lupus,Macropus robustus,1
Canis lupus,Mus musculus,1
Canis lupus,Isoodon macrourus,1
Canis lupus,Wallabia bicolor,1
Canis lupus,Sus scrofa,1
Homo sapiens,Canis lupus,1
Canis lupus,Ovibos moschatus,1
Canis lupus,Lepus arcticus,1
Ursus arctos,Canis lupus,1
Caracal caracal,Raphicerus sharpei,1
Caracal caracal,Redunca fulvorufula,1
Caracal caracal,Madoqua kirkii,1
Caracal caracal,Procavia capensis,1
Caracal caracal,Pedetes capensis,1
Caracal caracal,Rhabdomys pumilio,1
Homo sapiens,Catopuma temminckii,1
Chrysocyon brachyurus,Cerradomys maracajuensis,1
Chrysocyon brachyurus,Necromys lenguarum,1
Chrysocyon brachyurus,Cerradomys scotti,1
Chrysocyon brachyurus,Marmosa murina,1
Chrysocyon brachyurus,Pseudoryzomys simplex,1
Chrysocyon brachyurus,Juscelinomys huanchacae,1
Chrysocyon brachyurus,Holochilus brasiliensis,1
Chrysocyon brachyurus,Gracilinanus agilis,1
Chrysocyon brachyurus,Proechimys longicaudatus,1
Chrysocyon brachyurus,Mesomys hispidus,1
Chrysocyon brachyurus,Oligoryzomys microtis,1
Chrysocyon brachyurus,Chrysocyon brachyurus,1
Homo sapiens,Conepatus chinga,1
Cryptoprocta ferox,Microcebus rufus,1
Felis silvestris,Ctenomys conoveri,1
Lycalopex gymnocercus,Ctenomys conoveri,1
Cuon alpinus,Lepus nigricollis,1
Cuon alpinus,Tetracerus quadricornis,1
Cuon alpinus,Muntiacus vuquangensis,1
Cuon alpinus,Elaphodus cephalophus,1
Cuon alpinus,Rusa unicolor,1
Homo sapiens,Daubentonia madagascariensis,1
Didelphis virginiana,Parascalops breweri,1
Didelphis virginiana,Corynorhinus rafinesquii,1
Didelphis virginiana,Lasiurus seminolus,1
Didelphis virginiana,Myotis austroriparius,1
Vulpes vulpes,Didelphis virginiana,1
Homo sapiens,Didelphis virginiana,1
Didelphis virginiana,Sciurus niger,1
Didelphis virginiana,Odocoileus virginianus,1
Didelphis virginiana,Didelphis virginiana,1
Eira barbara,Leontopithecus caissara,1
Eira barbara,Sylvilagus brasiliensis,1
Homo sapiens,Equus kiang,1
Canis lupus,Equus kiang,1
Homo sapiens,Eulemur rubriventer,1
Canis lupus,Eulemur rubriventer,1
Felis silvestris,Eulemur rubriventer,1
Felis silvestris,Erinaceus europaeus,1
Canis lupus,Felis silvestris,1
Felis silvestris,Dipodomys venustus,1
Felis silvestris,Lepus nigricollis,1
Felis silvestris,Solenodon paradoxus,1
Felis silvestris,Ratufa indica,1
Felis silvestris,Notomys alexis,1
Felis silvestris,Blarina hylophaga,1
Felis silvestris,Petrogale assimilis,1
Felis silvestris,Thomomys mazama,1
Felis silvestris,Peromyscus polionotus,1
Felis silvestris,Parascalops breweri,1
Felis silvestris,Glaucomys sabrinus,1
Felis silvestris,Sorex cinereus,1
Felis silvestris,Neurotrichus gibbsii,1
Felis silvestris,Saguinus nigricollis,1
Felis silvestris,Corynorhinus rafinesquii,1
Felis silvestris,Megaderma lyra,1
Felis silvestris,Myotis grisescens,1
Felis silvestris,Plecotus austriacus,1
Felis silvestris,Glaucomys volans,1
Felis silvestris,Tatera indica,1
Felis silvestris,Microtus californicus,1
Felis silvestris,Dipodomys microps,1
Felis silvestris,Eptesicus fuscus,1
Felis silvestris,Sorex araneus,1
Felis silvestris,Epomophorus gambianus,1
Felis silvestris,Rattus norvegicus,1
Felis silvestris,Plecotus auritus,1
Felis silvestris,Mus musculus,1
Felis silvestris,Felis silvestris,1
Vulpes vulpes,Felis silvestris,1
Galictis cuja,Microcavia australis,1
Homo sapiens,Helarctos malayanus,1
Herpestes javanicus,Rattus rattus,1
Herpestes javanicus,Rattus exulans,1
Hyaena hyaena,Ammodorcas clarkei,1
Hyaena hyaena,Papio papio,1
Panthera pardus,Hylobates klossii,1
Homo sapiens,Hystrix brachyura,1
Leopardus jacobita,Lagidium viscacia,1
Homo sapiens,Leopardus geoffroyi,1
Leopardus pardalis,Leontopithecus caissara,1
Leopardus pardalis,Nasua nasua,1
Panthera pardus,Lepus nigricollis,1
Homo sapiens,Lepus nigricollis,1
Canis lupus,Lepus nigricollis,1
Homo sapiens,Lontra provocax,1
Lynx lynx,Capra cylindricornis,1
Lynx lynx,Microtus xanthognathus,1
Lynx lynx,Rupicapra rupicapra,1
Lynx lynx,Lynx lynx,1
Lynx lynx,Dryomys nitedula,1
Lynx lynx,Glis glis,1
Lynx lynx,Sciurus vulgaris,1
Lynx lynx,Martes foina,1
Lynx lynx,Lepus europaeus,1
Lynx lynx,Vulpes vulpes,1
Lynx lynx,Myodes glareolus,1
Lynx lynx,Sus scrofa,1
Macrogalidia musschenbroekii,Bubalus depressicornis,1
Panthera pardus,Manis javanica,1
Homo sapiens,Manis javanica,1
Martes flavigula,Callosciurus prevostii,1
Vulpes vulpes,Martes foina,1
Mellivora capensis,Litocranius walleri,1
Panthera pardus,Melursus ursinus,1
Homo sapiens,Moschus chrysogaster,1
Homo sapiens,Muntiacus vuquangensis,1
Panthera onca,Myrmecophaga tridactyla,1
Puma concolor,Myrmecophaga tridactyla,1
Panthera pardus,Nasalis larvatus,1
Panthera onca,Nasua nasua,1
Puma concolor,Nasua nasua,1
Homo sapiens,Neofelis nebulosa,1
Vulpes vulpes,Nyctereutes procyonoides,1
Nyctereutes procyonoides,Myodes glareolus,1
Nyctereutes procyonoides,Ondatra zibethicus,1
Nyctereutes procyonoides,Rattus norvegicus,1
Nyctereutes procyonoides,Mus musculus,1
Nyctereutes procyonoides,Talpa europaea,1
Nyctereutes procyonoides,Microtus arvalis,1
Nyctereutes procyonoides,Erinaceus europaeus,1
Nyctereutes procyonoides,Microtus agrestis,1
Nyctereutes procyonoides,Micromys minutus,1
Nyctereutes procyonoides,Arvicola amphibius,1
Puma concolor,Odocoileus virginianus,1
Homo sapiens,Odocoileus virginianus,1
Canis lupus,Odocoileus virginianus,1
Vulpes vulpes,Odocoileus virginianus,1
Ursus arctos,Odocoileus virginianus,1
Otocolobus manul,Procapra gutturosa,1
Panthera pardus,Paguma larvata,1
Panthera onca,Paguma larvata,1
Panthera tigris,Paguma larvata,1
Homo sapiens,Paguma larvata,1
Panthera onca,Leontopithecus caissara,1
Panthera pardus,Tragelaphus buxtoni,1
Panthera pardus,Raphicerus melanotis,1
Panthera pardus,Pelea capreolus,1
Panthera pardus,Colobus angolensis,1
Panthera pardus,Colobus satanas,1
Panthera pardus,Kobus megaceros,1
Panthera pardus,Gazella gazella,1
Panthera pardus,Litocranius walleri,1
Panthera pardus,Sus verrucosus,1
Panthera pardus,Pseudois nayaur,1
Panthera pardus,Papio cynocephalus,1
Panthera pardus,Papio anubis,1
Panthera pardus,Papio papio,1
Panthera pardus,Papio hamadryas,1
Panthera pardus,Redunca arundinum,1
Panthera pardus,Ovis ammon,1
Panthera pardus,Miopithecus talapoin,1
Panthera pardus,Redunca fulvorufula,1
Panthera pardus,Procolobus verus,1
Panthera pardus,Papio ursinus,1
Panthera pardus,Capra ibex,1
Panthera pardus,Hippotragus equinus,1
Panthera pardus,Hippotragus niger,1
Panthera leo,Panthera pardus,1
Canis lupus,Panthera pardus,1
Panthera pardus,Madoqua kirkii,1
Panthera pardus,Alcelaphus buselaphus,1
Panthera pardus,Heterohyrax brucei,1
Panthera pardus,Leptailurus serval,1
Panthera pardus,Redunca redunca,1
Panthera pardus,Ourebia ourebi,1
Panthera pardus,Pedetes capensis,1
Panthera pardus,Acinonyx jubatus,1
Panthera pardus,Canis mesomelas,1
Panthera pardus,Rhabdomys pumilio,1
Panthera pardus,Tragelaphus scriptus,1
Panthera pardus,Phacochoerus africanus,1
Panthera pardus,Connochaetes taurinus,1
Panthera pardus,Aepyceros melampus,1
Panthera pardus,Kobus ellipsiprymnus,1
Panthera pardus,Giraffa camelopardalis,1
Panthera pardus,Kobus vardonii,1
Panthera tigris,Tetracerus quadricornis,1
Panthera tigris,Sus verrucosus,1
Panthera tigris,Rhinoceros unicornis,1
Homo sapiens,Pardofelis marmorata,1
Procyon lotor,Arborimus longicaudus,1
Procyon lotor,Dipodomys compactus,1
Procyon lotor,Neurotrichus gibbsii,1
Procyon lotor,Corynorhinus rafinesquii,1
Procyon lotor,Glaucomys volans,1
Procyon lotor,Nycticeius humeralis,1
Procyon lotor,Ondatra zibethicus,1
Procyon lotor,Eptesicus fuscus,1
Procyon lotor,Zapus princeps,1
Canis lupus,Procyon lotor,1
Procyon lotor,Sigmodon hispidus,1
Vulpes vulpes,Procyon lotor,1
Canis lupus,Pseudois nayaur,1
Puma concolor,Vulpes vulpes,1
Puma concolor,Cervus elaphus,1
Puma concolor,Ursus americanus,1
Puma concolor,Puma concolor,1
Canis lupus,Puma concolor,1
Puma concolor,Odocoileus hemionus,1
Homo sapiens,Puma concolor,1
Homo sapiens,Pygathrix nemaeus,1
Homo sapiens,Rusa unicolor,1
Homo sapiens,Saguinus nigricollis,1
Homo sapiens,Sus celebensis,1
Vulpes vulpes,Sus scrofa,1
Sus scrofa,Muscardinus avellanarius,1
Ursus arctos,Sus scrofa,1
Homo sapiens,Sus scrofa,1
Vulpes vulpes,Sylvilagus floridanus,1
Homo sapiens,Sylvilagus floridanus,1
Mustela frenata,Sylvilagus floridanus,1
Canis lupus,Tetracerus quadricornis,1
Urocyon cinereoargenteus,Dipodomys venustus,1
Urocyon cinereoargenteus,Peromyscus polionotus,1
Urocyon cinereoargenteus,Chaetodipus penicillatus,1
Urocyon cinereoargenteus,Dipodomys deserti,1
Urocyon cinereoargenteus,Neurotrichus gibbsii,1
Urocyon cinereoargenteus,Dipodomys californicus,1
Urocyon cinereoargenteus,Myotis grisescens,1
Urocyon cinereoargenteus,Microtus ochrogaster,1
Urocyon cinereoargenteus,Peromyscus boylii,1
Urocyon cinereoargenteus,Microtus californicus,1
Urocyon cinereoargenteus,Thomomys talpoides,1
Urocyon cinereoargenteus,Zapus princeps,1
Urocyon cinereoargenteus,Reithrodontomys megalotis,1
Urocyon cinereoargenteus,Neotoma fuscipes,1
Urocyon cinereoargenteus,Tamias striatus,1
Urocyon cinereoargenteus,Otospermophilus beecheyi,1
Urocyon cinereoargenteus,Sylvilagus bachmani,1
Urocyon cinereoargenteus,Urocyon cinereoargenteus,1
Ursus arctos,Cervus canadensis,1
Ursus arctos,Microtus montanus,1
Ursus arctos,Marmota flaviventris,1
Ursus arctos,Odocoileus hemionus,1
Ursus arctos,Castor canadensis,1
Ursus arctos,Antilocapra americana,1
Ursus arctos,Oryctolagus cuniculus,1
Ursus arctos,Cervus elaphus,1
Ursus arctos,Thomomys talpoides,1
Ursus arctos,Marmota broweri,1
Ursus arctos,Tamiasciurus hudsonicus,1
Ursus arctos,Microtus pennsylvanicus,1
Ursus arctos,Erethizon dorsatum,1
Ursus arctos,Ondatra zibethicus,1
Ursus arctos,Ursus americanus,1
Ursus arctos,Rangifer tarandus,1
Ursus arctos,Oreamnos americanus,1
Ursus arctos,Bison bison,1
Ursus arctos,Peromyscus maniculatus,1
Ursus arctos,Ovis canadensis,1
Ursus arctos,Ochotona princeps,1
Ursus arctos,Alces alces,1
Ursus arctos,Ursus arctos,1
Homo sapiens,Ursus arctos,1
Ursus arctos,Marmota caligata,1
Homo sapiens,Ursus thibetanus,1
Vulpes vulpes,Tamias striatus,1
Vulpes vulpes,Ondatra zibethicus,1
Vulpes vulpes,Sciurus carolinensis,1
Vulpes vulpes,Sciurus niger,1
Vulpes vulpes,Sciurus vulgaris,1
Vulpes vulpes,Lepus americanus,1
Vulpes vulpes,Cynomys ludovicianus,1
Vulpes vulpes,Rattus norvegicus,1
Vulpes vulpes,Lepus europaeus,1
Vulpes vulpes,Peromyscus polionotus,1
Vulpes vulpes,Sigmodon hispidus,1
Vulpes vulpes,Talpa europaea,1
Vulpes vulpes,Myodes glareolus,1
Vulpes vulpes,Mustela nivalis,1
Vulpes vulpes,Dipodomys venustus,1
Vulpes vulpes,Onychogalea fraenata,1
Vulpes vulpes,Petauroides volans,1
Vulpes vulpes,Macropus bernardus,1
Vulpes vulpes,Dipodomys compactus,1
Vulpes vulpes,Martes martes,1
Vulpes vulpes,Erinaceus europaeus,1
Vulpes vulpes,Petrogale assimilis,1
Vulpes vulpes,Parascalops breweri,1
Vulpes vulpes,Microtus oeconomus,1
Vulpes vulpes,Microtus xanthognathus,1
Vulpes vulpes,Dipodomys deserti,1
Vulpes vulpes,Eliomys quercinus,1
Vulpes vulpes,Blarina carolinensis,1
Vulpes vulpes,Blarina brevicauda,1
Vulpes vulpes,Sorex cinereus,1
Vulpes vulpes,Neurotrichus gibbsii,1
Vulpes vulpes,Dipodomys californicus,1
Vulpes vulpes,Muscardinus avellanarius,1
Vulpes vulpes,Myotis grisescens,1
Vulpes vulpes,Castor fiber,1
Vulpes vulpes,Gazella gazella,1
Vulpes vulpes,Arvicola amphibius,1
Vulpes vulpes,Microtus ochrogaster,1
Vulpes vulpes,Peromyscus boylii,1
Vulpes vulpes,Microtus pennsylvanicus,1
Vulpes vulpes,Procapra gutturosa,1
Vulpes vulpes,Peromyscus leucopus,1
Vulpes vulpes,Thomomys talpoides,1
Vulpes vulpes,Reithrodontomys megalotis,1
Vulpes vulpes,Zapus princeps,1
Vulpes vulpes,Peromyscus maniculatus,1
Vulpes vulpes,Mustela putorius,1
Vulpes vulpes,Homo sapiens,1
Vulpes vulpes,Mus musculus,1
Vulpes vulpes,Meles meles,1
Vulpes vulpes,Miniopterus australis,1
Vulpes vulpes,Microtus arvalis,1
Vulpes vulpes,Sorex araneus,1
Vulpes vulpes,Microtus agrestis,1
Vulpes vulpes,Canis lupus,1
Vulpes vulpes,Apodemus flavicollis,1
Vulpes vulpes,Apodemus sylvaticus,1
Vulpes vulpes,Vulpes vulpes,1
Homo sapiens,Vulpes vulpes,1
Canis lupus,Vulpes vulpes,1
Acinonyx jubatus,Aepyceros melampus,1
Acinonyx jubatus,Raphicerus campestris,1
Acinonyx jubatus,Equus quagga,1
Acinonyx jubatus,Tragelaphus scriptus,1
Acinonyx jubatus,Sylvicapra grimmia,1
Acinonyx jubatus,Pedetes capensis,1
Acinonyx jubatus,Tragelaphus oryx,1
Acinonyx jubatus,Tragelaphus strepsiceros,1
Acinonyx jubatus,Connochaetes taurinus,1
Acinonyx jubatus,Phacochoerus africanus,1
Acinonyx jubatus,Alcelaphus buselaphus,1
Acinonyx jubatus,Lepus saxatilis,1
Acinonyx jubatus,Oryx gazella,1
Panthera pardus,Tragelaphus strepsiceros,1
Panthera pardus,Phacochoerus aethiopicus,1
Panthera pardus,Oryx gazella,1
Panthera pardus,Tragelaphus oryx,1
Parahyaena brunnea,Tragelaphus strepsiceros,1
Parahyaena brunnea,Oryx gazella,1
Parahyaena brunnea,Capra aegagrus,1
Parahyaena brunnea,Tragelaphus oryx,1
Parahyaena brunnea,Lepus saxatilis,1
Parahyaena brunnea,Alcelaphus buselaphus,1
Parahyaena brunnea,Raphicerus campestris,1
Acinonyx jubatus,Gazella bennettii,1
Acinonyx jubatus,Capra aegagrus,1
Acinonyx jubatus,Eudorcas thomsonii,1
Acinonyx jubatus,Nanger granti,1
Lycaon pictus,Eudorcas thomsonii,1
Lycaon pictus,Connochaetes taurinus,1
Lycaon pictus,Nanger granti,1
Lycaon pictus,Damaliscus lunatus,1
Lycaon pictus,Aepyceros melampus,1
Panthera leo,Connochaetes taurinus,1
Panthera leo,Nanger granti,1
Panthera leo,Eudorcas thomsonii,1
Panthera leo,Alcelaphus buselaphus,1
Panthera pardus,Eudorcas thomsonii,1
Panthera pardus,Nanger granti,1
Panthera pardus,Procavia capensis,1
Panthera pardus,Damaliscus lunatus,1
Acinonyx jubatus,Kobus ellipsiprymnus,1
Acinonyx jubatus,Damaliscus lunatus,1
Acinonyx jubatus,Redunca redunca,1
Acinonyx jubatus,Syncerus caffer,1
Panthera leo,Equus quagga,1
Panthera leo,Syncerus caffer,1
Panthera leo,Damaliscus lunatus,1
Panthera leo,Giraffa camelopardalis,1
Panthera leo,Hippopotamus amphibius,1
Panthera leo,Phacochoerus africanus,1
Panthera leo,Tragelaphus oryx,1
Acinonyx jubatus,Gazella subgutturosa,1
Acinonyx jubatus,Sus scrofa,1
Acinonyx jubatus,Tragelaphus angasii,1
Acinonyx jubatus,Antidorcas marsupialis,1
Acinonyx jubatus,Phacochoerus aethiopicus,1
Lycaon pictus,Sylvicapra grimmia,1
Lycaon pictus,Raphicerus campestris,1
Lycaon pictus,Tragelaphus scriptus,1
